openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2018-04-17,0.25551000,0.28800000,0.23983000,0.24260000,67462293.24000000,1524009599999,17411823.57157960,42568,28228665.39000000,7281513.06137010,0
2018-04-18,0.24260000,0.26460000,0.24201000,0.26200000,31328095.79000000,1524095999999,7922134.28304330,21684,15082512.84000000,3818068.82632840,0
2018-04-19,0.26199000,0.27500000,0.25777000,0.27004000,50859980.22000000,1524182399999,13609907.89978870,32600,23934593.69000000,6408750.31190170,0
2018-04-20,0.27004000,0.30442000,0.26648000,0.30108000,71084276.49000000,1524268799999,20270887.70351350,46506,35262790.18000000,10040840.12777730,0
2018-04-21,0.30161000,0.30700000,0.26509000,0.28668000,92719842.91000000,1524355199999,26539390.12720960,55256,43517191.79000000,12413648.37070700,0
2018-04-22,0.28669000,0.29730000,0.27716000,0.28160000,48693828.46000000,1524441599999,13995484.40681160,31512,23214895.86000000,6679180.53730580,0
2018-04-23,0.28160000,0.28867000,0.28064000,0.28788000,34341260.85000000,1524527999999,9788784.21676100,22695,13692447.50000000,3904591.52166740,0
2018-04-24,0.28798000,0.32000000,0.28593000,0.30853000,90526059.79000000,1524614399999,27728564.26935270,59339,43507259.85000000,13294488.19719800,0
2018-04-25,0.30850000,0.31099000,0.25730000,0.26870000,124688510.26000000,1524700799999,34935280.91710510,75613,53116874.13000000,14847651.65233860,0
2018-04-26,0.26870000,0.29390000,0.25500000,0.29326000,68109625.26000000,1524787199999,18704063.46005310,46981,31814747.97000000,8746078.16855260,0
2018-04-27,0.29326000,0.30643000,0.28145000,0.28445000,69781321.86000000,1524873599999,20504315.28290510,46133,34026765.74000000,10013836.69712220,0
2018-04-28,0.28440000,0.36498000,0.28170000,0.35676000,168937876.23000000,1524959999999,56407387.72753420,103617,89831223.31000000,29871051.66850670,0
2018-04-29,0.35675000,0.38660000,0.34150000,0.36254000,162840221.99000000,1525046399999,59607359.48185200,103067,79911394.87000000,29289779.12516260,0
2018-04-30,0.36251000,0.36370000,0.33000000,0.34145000,93142615.39000000,1525132799999,32338238.10860640,71564,40477907.58000000,14067204.94713020,0
2018-05-01,0.34145000,0.36034000,0.31870000,0.35504000,120368721.75000000,1525219199999,40859083.99584130,71249,56496967.88000000,19249295.83064260,0
2018-05-02,0.35498000,0.37586000,0.34500000,0.37199000,65457686.29000000,1525305599999,23759298.72861260,54666,34084267.41000000,12386872.99135150,0
2018-05-03,0.37199000,0.38850000,0.36402000,0.36716000,88326409.65000000,1525391999999,32983955.92400440,68511,37735576.74000000,14118032.42835880,0
2018-05-04,0.36683000,0.36897000,0.34650000,0.35800000,56069269.37000000,1525478399999,20199051.78382620,44209,26029367.87000000,9365192.77335090,0
2018-05-05,0.35840000,0.37434000,0.35771000,0.36502000,46962690.28000000,1525564799999,17211963.40023110,37709,19905635.98000000,7303836.40030630,0
2018-05-06,0.36502000,0.36641000,0.33538000,0.34654000,63926868.16000000,1525651199999,22202800.22710520,45636,27676267.84000000,9566932.91087640,0
2018-05-07,0.34599000,0.34740000,0.29100000,0.33046000,64060938.79000000,1525737599999,20855267.85060130,45899,29922663.51000000,9738982.25201350,0
2018-05-08,0.33079000,0.34559000,0.31630000,0.32213000,45105012.01000000,1525823999999,14851982.50779050,36389,21315327.90000000,7019394.55230880,0
2018-05-09,0.32213000,0.32547000,0.29800000,0.31884000,60635549.24000000,1525910399999,18957201.22022620,40624,27673515.06000000,8653246.94053100,0
2018-05-10,0.31884000,0.32210000,0.29100000,0.29121000,38210521.24000000,1525996799999,11849062.06166730,33669,16174022.91000000,5021601.92107810,0
2018-05-11,0.29121000,0.29349000,0.24880000,0.25573000,141274876.67000000,1526083199999,37716105.25114700,87880,62311865.76000000,16625795.60604480,0
2018-05-12,0.25574000,0.27898000,0.23402000,0.26550000,145891622.18000000,1526169599999,37755754.09387690,75721,66419359.07000000,17156522.08308550,0
