openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-09-18,2.36500000,2.36500000,0.60000000,0.63830000,8801778.60000000,1568851199999,6178771.05598800,20333,3134418.85000000,2202002.22315300,0
2019-09-19,0.63830000,0.64830000,0.55760000,0.60280000,3746946.12000000,1568937599999,2232155.03450600,9521,1366686.68000000,812112.91479200,0
2019-09-20,0.60280000,0.90000000,0.58680000,0.68000000,8511213.66000000,1569023999999,6123408.16491300,16924,3261285.33000000,2333323.83195700,0
2019-09-21,0.68000000,0.84800000,0.67780000,0.81100000,6540757.56000000,1569110399999,5123283.91857000,16696,2926647.37000000,2302702.89000100,0
2019-09-22,0.81300000,0.92980000,0.70560000,0.71770000,6632537.82000000,1569196799999,5424232.14631300,17185,2590596.04000000,2142022.65644000,0
2019-09-23,0.71750000,0.75500000,0.62320000,0.63250000,2979197.75000000,1569283199999,2025809.35410800,7347,1121804.50000000,766992.46648500,0
2019-09-24,0.62730000,0.68000000,0.44000000,0.48460000,2886588.36000000,1569369599999,1658064.17122000,5845,1298587.87000000,743915.07064700,0
2019-09-25,0.48450000,0.51860000,0.43590000,0.46390000,1520398.91000000,1569455999999,711134.95241300,3508,772036.88000000,360664.06394600,0
2019-09-26,0.46390000,0.57330000,0.45000000,0.51500000,3883940.01000000,1569542399999,1978134.11926900,8209,1582647.43000000,806731.49257300,0
2019-09-27,0.51700000,0.53800000,0.47510000,0.51820000,1394089.59000000,1569628799999,713925.29139100,3567,466773.39000000,239581.27169100,0
2019-09-28,0.51820000,0.53400000,0.49430000,0.52880000,742634.63000000,1569715199999,384170.44274400,2479,332419.91000000,172054.29420000,0
2019-09-29,0.52590000,0.53880000,0.48580000,0.50000000,822668.92000000,1569801599999,415738.66248600,3539,266339.87000000,135250.22828700,0
2019-09-30,0.50090000,0.56160000,0.48520000,0.50970000,2361644.47000000,1569887999999,1233999.96371800,5912,951095.81000000,499763.14481100,0
2019-10-01,0.51020000,0.52230000,0.48580000,0.48800000,985298.50000000,1569974399999,498031.04668800,3461,289812.49000000,146643.70923500,0
2019-10-02,0.48800000,0.49000000,0.46010000,0.47760000,826666.89000000,1570060799999,391047.29458600,2077,327166.52000000,155081.11812000,0
2019-10-03,0.47800000,0.50870000,0.46500000,0.47850000,530934.30000000,1570147199999,258239.23247700,2129,229504.68000000,112075.93410400,0
2019-10-04,0.48180000,0.48180000,0.46850000,0.47450000,140821.31000000,1570233599999,66840.55872100,1065,55919.76000000,26579.08817300,0
2019-10-05,0.47330000,0.47790000,0.46610000,0.47030000,209018.89000000,1570319999999,98813.47672800,1232,88112.82000000,41686.41253300,0
2019-10-06,0.47240000,0.47240000,0.42370000,0.43160000,444847.77000000,1570406399999,197051.16076800,2034,152313.57000000,67538.87504500,0
2019-10-07,0.43160000,0.44610000,0.40740000,0.43990000,857027.58000000,1570492799999,366137.04292500,2970,447730.45000000,191073.83192200,0
2019-10-08,0.44140000,0.47460000,0.43000000,0.45010000,670317.26000000,1570579199999,300040.34597800,2610,276128.47000000,124137.60355000,0
2019-10-09,0.45020000,0.48700000,0.43790000,0.46760000,914786.80000000,1570665599999,424263.76671500,4295,435569.67000000,201630.63471900,0
2019-10-10,0.46750000,0.48000000,0.42940000,0.44000000,714670.33000000,1570751999999,322577.04692100,3634,227208.46000000,103420.27886900,0
2019-10-11,0.44050000,0.45530000,0.41500000,0.43980000,568577.69000000,1570838399999,243559.44778600,3146,200310.44000000,86094.79299200,0
2019-10-12,0.43980000,0.45700000,0.42120000,0.42710000,663320.58000000,1570924799999,294050.56456600,3379,233113.66000000,103469.79764200,0
2019-10-13,0.42980000,0.44300000,0.41620000,0.42610000,562128.00000000,1571011199999,240803.51596300,2069,128928.03000000,55157.60668500,0
2019-10-14,0.42610000,0.45720000,0.42060000,0.42650000,646765.56000000,1571097599999,280833.57429700,2094,245039.30000000,106388.10946300,0
2019-10-15,0.42650000,0.43780000,0.40900000,0.41230000,528047.77000000,1571183999999,223506.84686900,2195,182771.11000000,77595.02767900,0
2019-10-16,0.41150000,0.42550000,0.36860000,0.37930000,750735.74000000,1571270399999,296095.20680800,2473,300144.32000000,118919.60982500,0
2019-10-17,0.37870000,0.39400000,0.36860000,0.39030000,424548.00000000,1571356799999,162248.95250600,1459,199320.94000000,76465.76630900,0
2019-10-18,0.38900000,0.39580000,0.35710000,0.36460000,363914.23000000,1571443199999,136003.63216300,1108,142753.99000000,53376.06010700,0
2019-10-19,0.36470000,0.36470000,0.33460000,0.33860000,539211.43000000,1571529599999,187893.75682000,1432,265026.01000000,92393.98429800,0
2019-10-20,0.33860000,0.33960000,0.32300000,0.33330000,472380.29000000,1571615999999,157134.05696300,1573,202313.22000000,67494.88241600,0
2019-10-21,0.33550000,0.36000000,0.33070000,0.33550000,725074.43000000,1571702399999,248150.24064300,2192,258499.96000000,88805.05928400,0
2019-10-22,0.33520000,0.38660000,0.33410000,0.36340000,1206145.93000000,1571788799999,440568.83743300,3616,506852.97000000,185818.77231400,0
2019-10-23,0.36310000,0.36990000,0.29160000,0.30350000,1066016.89000000,1571875199999,345936.74242100,3049,339075.84000000,108540.44250800,0
2019-10-24,0.30440000,0.31500000,0.28920000,0.30900000,632578.92000000,1571961599999,190441.41848700,1954,243565.04000000,73475.24441000,0
2019-10-25,0.30840000,0.34290000,0.29390000,0.32360000,1518173.00000000,1572047999999,477283.51194300,3141,679874.81000000,215267.80085100,0
2019-10-26,0.32610000,0.33480000,0.28210000,0.28980000,1702036.38000000,1572134399999,512559.48646200,3432,545299.86000000,164176.74394400,0
2019-10-27,0.29250000,0.32250000,0.27600000,0.30940000,1529578.81000000,1572220799999,454793.73265000,3377,739030.20000000,219998.13589300,0
